a	silp a1
thím	tʰ i5 m5
thính	tʰ i5 ɲ5
thít	tʰ i5 t5
thò	tʰ ɔ2
thòi	tʰ ɔ2 j2
thó	tʰ ɔ5
thóc	tʰ ɔ5 k͡p5
thói	tʰ ɔ5 j5
thóp	tʰ ɔ5 p5
thót	tʰ ɔ5 t5
thô	tʰ o1
thôi	tʰ o1 j1
thôn	tʰ o1 n1
thông	tʰ o1 ŋ͡m1
thù	tʰ u2
thùng	tʰ u2 ŋ͡m2
thùy	tʰ u2 j2
thú	tʰ u5
thúc	tʰ u5 k͡p5
thúng	tʰ u5 ŋ͡m5
thút	tʰ u5 t5
thúy	tʰ u5 j5
thăm	tʰ ă1 m1
thăn	tʰ ă1 n1
thăng	tʰ ă1 ŋ1
thũng	tʰ u3 ŋ͡m3
thơ	tʰ ɤ1
thơi	tʰ ɤ1 j1
thơm	tʰ ɤ1 m1
thư	tʰ ɯ1
thưa	tʰ ɯə1
thương	tʰ ɯə1 ŋ1
thước	tʰ ɯə5 k5
thường	tʰ ɯə2 ŋ2
thưởng	tʰ ɯə4 ŋ4
thược	tʰ ɯə6 k6
thượng	tʰ ɯə6 ŋ6
thượt	tʰ ɯə6 t6
thạc	tʰ a6 k6
thạch	tʰ a6 tʃ6
thạnh	tʰ ɛ6 ɲ6
thạo	tʰ a6 w6
thả	tʰ a4
thải	tʰ a4 j4
thảm	tʰ a4 m4
thản	tʰ a4 n4
thảng	tʰ a4 ŋ4
thảnh	tʰ ɛ4 ɲ4
thảo	tʰ a4 w4
thảy	tʰ ă4 j4
thấm	tʰ ɤ̆5 m5
thấp	tʰ ɤ̆5 p5
thất	tʰ ɤ̆5 t5
thấu	tʰ ɤ̆5 w5
thấy	tʰ ɤ̆5 j5
thầm	tʰ ɤ̆2 m2
thần	tʰ ɤ̆2 n2
thầu	tʰ ɤ̆2 w2
thầy	tʰ ɤ̆2 j2
thẩm	tʰ ɤ̆4 m4
thẫm	tʰ ɤ̆3 m3
thậm	tʰ ɤ̆6 m6
thận	tʰ ɤ̆6 n6
thập	tʰ ɤ̆6 p6
thật	tʰ ɤ̆6 t6
thắc	tʰ ă5 k5
thắm	tʰ ă5 m5
thắn	tʰ ă5 n5
thắng	tʰ ă5 ŋ5
thắp	tʰ ă5 p5
thắt	tʰ ă5 t5
thằn	tʰ ă2 n2
thằng	tʰ ă2 ŋ2
thẳng	tʰ ă4 ŋ4
thẻ	tʰ ɛ4
thế	tʰ e5
thếp	tʰ e5 p5
thết	tʰ e5 t5
thề	tʰ e2
thềm	tʰ e2 m2
thể	tʰ e4
thỉnh	tʰ i4 ɲ4
thỉu	tʰ i4 w4
thị	tʰ i6
thịnh	tʰ i6 ɲ6
thịt	tʰ i6 t6
thọ	tʰ ɔ6
thỏ	tʰ ɔ4
thỏa	tʰw ʷa4
thỏi	tʰ ɔ4 j4
thỏm	tʰ ɔ4 m4
thố	tʰ o5
thối	tʰ o5 j5
thốn	tʰ o5 n5
thống	tʰ o5 ŋ͡m5
thốt	tʰ o5 t5
thổ	tʰ o4
thổi	tʰ o4 j4
thớ	tʰ ɤ5
thới	tʰ ɤ5 j5
thớt	tʰ ɤ5 t5
thờ	tʰ ɤ2
thời	tʰ ɤ2 j2
thở	tʰ ɤ4
thợ	tʰ ɤ6
thụ	tʰ u6
thục	tʰ u6 k͡p6
thụt	tʰ u6 t6
thụy	tʰ u6 j6
thủ	tʰ u4
thủi	tʰ u4 j4
thủng	tʰ u4 ŋ͡m4
thủy	tʰ u4 j4
thứ	tʰ ɯ5
thức	tʰ ɯ5 k5
thừa	tʰ ɯə2
thừng	tʰ ɯ2 ŋ2
thử	tʰ ɯ4
thửa	tʰ ɯə4
thự	tʰ ɯ6
thực	tʰ ɯ6 k6
ti	t i1
tia	t iə1
tim	t i1 m1
tin	t i1 n1
tinh	t i1 ɲ1
tiêm	t iə1 m1
tiên	t iə1 n1
tiêu	t iə1 w1
tiếc	t iə5 k5
tiến	t iə5 n5
tiếng	t iə5 ŋ5
tiếp	t iə5 p5
tiết	t iə5 t5
tiếu	t iə5 w5
tiềm	t iə2 m2
tiền	t iə2 n2
tiều	t iə2 w2
tiểu	t iə4 w4
tiễn	t iə3 n3
tiệc	t iə6 k6
tiệm	t iə6 m6
tiện	t iə6 n6
tiệp	t iə6 p6
tiệt	t iə6 t6
to	t ɔ1
toa	tw ʷa1
toan	tw ʷa1 n1
toi	t ɔ1 j1
tom	t ɔ1 m1
ton	t ɔ1 n1
top	t ɔ1 p1
toà	tw ʷa2
toàn	tw ʷa2 n2
toác	tw ʷa5 k5
toái	tw a5 j5
toán	tw ʷa5 n5
toát	tw ʷa5 t5
toạc	tw ʷa6 k6
toại	tw a6 j6
toả	tw ʷa4
toản	tw ʷa4 n4
tra	ʈ a1
trai	ʈ a1 j1
trang	ʈ a1 ŋ1
tranh	ʈ ɛ1 ɲ1
trao	ʈ a1 w1
trau	ʈ ă1 w1
tre	ʈ ɛ1
treo	ʈ eo1
tri	ʈ i1
trinh	ʈ i1 ɲ1
triết	ʈ iə5 t5
triền	ʈ iə2 n2
triều	ʈ iə2 w2
triển	ʈ iə4 n4
triệt	ʈ iə6 t6
triệu	ʈ iə6 w6
tro	ʈ ɔ1
trong	ʈ ɔ1 ŋ͡m1
tru	ʈ u1
trui	ʈ u1 j1
trung	ʈ u1 ŋ͡m1
truy	ʈw ʷi1
truyền	ʈw ʷiə2 n2
truyện	ʈw ʷiə6 n6
truồng	ʈ uə2 ŋ2
trà	ʈ a2
tràm	ʈ a2 m2
tràn	ʈ a2 n2
tràng	ʈ a2 ŋ2
trào	ʈ a2 w2
trá	ʈ a5
trác	ʈ a5 k5
trách	ʈ a5 tʃ5
trái	ʈ a5 j5
trám	ʈ a5 m5
trán	ʈ a5 n5
tráng	ʈ a5 ŋ5
tránh	ʈ ɛ5 ɲ5
tráo	ʈ a5 w5
trâm	ʈ ɤ̆1 m1
trân	ʈ ɤ̆1 n1
trâu	ʈ ɤ̆1 w1
trãi	ʈ a3 j3
trèo	ʈ eo2
trên	ʈ e1 n1
trêu	ʈ ɛu1
trì	ʈ i2
trình	ʈ i2 ɲ2
trìu	ʈ i2 w2
trí	ʈ i5
trích	ʈ i5 tʃ5
trò	ʈ ɔ2
tròn	ʈ ɔ2 n2
tròng	ʈ ɔ2 ŋ͡m2
tróc	ʈ ɔ5 k͡p5
trói	ʈ ɔ5 j5
trót	ʈ ɔ5 t5
trôi	ʈ o1 j1
trông	ʈ o1 ŋ͡m1
trù	ʈ u2
trùm	ʈ u2 m2
trùng	ʈ u2 ŋ͡m2
trú	ʈ u5
trúc	ʈ u5 k͡p5
trúng	ʈ u5 ŋ͡m5
trút	ʈ u5 t5
trăm	ʈ ă1 m1
trăn	ʈ ă1 n1
trăng	ʈ ă1 ŋ1
trĩ	ʈ i3
trơ	ʈ ɤ1
trơn	ʈ ɤ1 n1
trưa	ʈ ɯə1
trưng	ʈ ɯ1 ŋ1
trương	ʈ ɯə1 ŋ1
trước	ʈ ɯə5 k5
trướng	ʈ ɯə5 ŋ5
trườn	ʈ ɯə2 n2
trường	ʈ ɯə2 ŋ2
trưởng	ʈ ɯə4 ŋ4
trượt	ʈ ɯə6 t6
trạch	ʈ a6 tʃ6
trại	ʈ a6 j6
trạm	ʈ a6 m6
trạng	ʈ a6 ŋ6
trả	ʈ a4
trải	ʈ a4 j4
trảng	ʈ a4 ŋ4
trấn	ʈ ɤ̆5 n5
trầm	ʈ ɤ̆2 m2
trần	ʈ ɤ̆2 n2
trầu	ʈ ɤ̆2 w2
trầy	ʈ ɤ̆2 j2
trẩy	ʈ ɤ̆4 j4
trận	ʈ ɤ̆6 n6
trật	ʈ ɤ̆6 t6
trắc	ʈ ă5 k5
trắng	ʈ ă5 ŋ5
trằn	ʈ ă2 n2
trặc	ʈ ă6 k6
trẹo	ʈ eo6
trẻ	ʈ ɛ4
trẻo	ʈ eo4
trẽn	ʈ ɛ3 n3
trễ	ʈ e3
trệ	ʈ e6
trệt	ʈ e6 t6
trỉa	ʈ iə4
trị	ʈ i6
trịnh	ʈ i6 ɲ6
trọ	ʈ ɔ6
trọc	ʈ ɔ6 k͡p6
trọi	ʈ ɔ6 j6
trọn	ʈ ɔ6 n6
trọng	ʈ ɔ6 ŋ͡m6
trọt	ʈ ɔ6 t6
trỏ	ʈ ɔ4
trối	ʈ o5 j5
trốn	ʈ o5 n5
trống	ʈ o5 ŋ͡m5
trồ	ʈ o2
trồi	ʈ o2 j2
trồng	ʈ o2 ŋ͡m2
trổ	ʈ o4
trỗi	ʈ o3 j3
trội	ʈ o6 j6
trộm	ʈ o6 m6
trộn	ʈ o6 n6
trớ	ʈ ɤ5
trớn	ʈ ɤ5 n5
trời	ʈ ɤ2 j2
trở	ʈ ɤ4
trợ	ʈ ɤ6
trợn	ʈ ɤ6 n6
trụ	ʈ u6
trục	ʈ u6 k͡p6
trụi	ʈ u6 j6
trụy	ʈ u6 j6
trứ	ʈ ɯ5
trứng	ʈ ɯ5 ŋ5
trừ	ʈ ɯ2
trừng	ʈ ɯ2 ŋ2
trữ	ʈ ɯ3
trực	ʈ ɯ6 k6
tu	t u1
tua	t uə1
tui	t u1 j1
tung	t u1 ŋ͡m1
tuy	tw ʷi1
tuyên	tw ʷiə1 n1
tuyến	tw ʷiə5 n5
tuyết	tw ʷiə5 t5
tuyền	tw ʷiə2 n2
tuyển	tw ʷiə4 n4
tuyệt	tw ʷiə6 t6
tuân	tw ʷɤ̆1 n1
tuông	t uə1 ŋ1
tuý	t u5 j5
tuýp	tw ʷi5 p5
tuýt	tw ʷi5 t5
tuấn	tw ʷɤ̆5 n5
tuất	tw ʷɤ̆5 t5
tuần	tw ʷɤ̆2 n2
tuệ	tw ʷe6
tuốt	t uə5 t5
tuồn	t uə2 n2
tuồng	t uə2 ŋ2
tuổi	t uə4 j4
tuộc	t uə6 k6
tuột	t uə6 t6
tuỳ	t u2 j2
tuỵ	t u6 j6
ty	t i1
tà	t a2
tài	t a2 j2
tàn	t a2 n2
tàng	t a2 ŋ2
tành	t ɛ2 ɲ2
tào	t a2 w2
tàu	t ă2 w2
tày	t ă2 j2
tá	t a5
tác	t a5 k5
tách	t a5 tʃ5
tái	t a5 j5
tám	t a5 m5
tán	t a5 n5
táng	t a5 ŋ5
táo	t a5 w5
táp	t a5 p5
tát	t a5 t5
tâm	t ɤ̆1 m1
tân	t ɤ̆1 n1
tâng	t ɤ̆1 ŋ1
tây	t ɤ̆1 j1
tã	t a3
té	t ɛ5
tê	t e1
tên	t e1 n1
tì	t i2
tìm	t i2 m2
tình	t i2 ɲ2
tí	t i5
tía	t iə5
tích	t i5 tʃ5
tím	t i5 m5
tín	t i5 n5
tính	t i5 ɲ5
tít	t i5 t5
tíu	t i5 w5
tò	t ɔ2
tòa	tw ʷa2
tòi	t ɔ2 j2
tòng	t ɔ2 ŋ͡m2
tóc	t ɔ5 k͡p5
tóm	t ɔ5 m5
tóp	t ɔ5 p5
tót	t ɔ5 t5
tô	t o1
tôi	t o1 j1
tôm	t o1 m1
tôn	t o1 n1
tông	t o1 ŋ͡m1
tù	t u2
tùng	t u2 ŋ͡m2
tùy	t u2 j2
tú	t u5
túa	t uə5
túc	t u5 k͡p5
túi	t u5 j5
túm	t u5 m5
túng	t u5 ŋ͡m5
túp	t u5 p5
tút	t u5 t5
túy	t u5 j5
tý	t i5
tăm	t ă1 m1
tăn	t ă1 n1
tăng	t ă1 ŋ1
tĩnh	t i3 ɲ3
tĩu	t i3 w3
tơ	t ɤ1
tơi	t ɤ1 j1
tư	t ɯ1
tưng	t ɯ1 ŋ1
tươi	t ɯə1 j1
tươm	t ɯə1 m1
tương	t ɯə1 ŋ1
tước	t ɯə5 k5
tưới	t ɯə5 j5
tướng	t ɯə5 ŋ5
tường	t ɯə2 ŋ2
tưởng	t ɯə4 ŋ4
tược	t ɯə6 k6
tượng	t ɯə6 ŋ6
tạ	t a6
tạc	t a6 k6
tại	t a6 j6
tạm	t a6 m6
tạng	t a6 ŋ6
tạo	t a6 w6
tạp	t a6 p6
tạt	t a6 t6
tả	t a4
tải	t a4 j4
tản	t a4 n4
tảng	t a4 ŋ4
tảo	t a4 w4
tấc	t ɤ̆5 k5
tấm	t ɤ̆5 m5
tấn	t ɤ̆5 n5
tấp	t ɤ̆5 p5
tất	t ɤ̆5 t5
tấu	t ɤ̆5 w5
tấy	t ɤ̆5 j5
tầm	t ɤ̆2 m2
tần	t ɤ̆2 n2
tầng	t ɤ̆2 ŋ2
tẩm	t ɤ̆4 m4
tẩu	t ɤ̆4 w4
tẩy	t ɤ̆4 j4
tậm	t ɤ̆6 m6
tận	t ɤ̆6 n6
tập	t ɤ̆6 p6
tật	t ɤ̆6 t6
tậu	t ɤ̆6 w6
tắc	t ă5 k5
tắm	t ă5 m5
tắn	t ă5 n5
tắp	t ă5 p5
tắt	t ă5 t5
tằm	t ă2 m2
tằn	t ă2 n2
tặc	t ă6 k6
tặn	t ă6 n6
tặng	t ă6 ŋ6
tẻ	t ɛ4
tế	t e5
tết	t e5 t5
tếu	t ɛu5
tề	t e2
tệ	t e6
tỉ	t i4
tỉa	t iə4
tỉnh	t i4 ɲ4
tị	t i6
tịch	t i6 tʃ6
tịnh	t i6 ɲ6
tọa	tw ʷa6
tỏ	t ɔ4
tỏa	tw ʷa4
tỏi	t ɔ4 j4
tố	t o5
tốc	t o5 k͡p5
tối	t o5 j5
tốn	t o5 n5
tống	t o5 ŋ͡m5
tốp	t o5 p5
tốt	t o5 t5
tồi	t o2 j2
tồn	t o2 n2
tổ	t o4
tổn	t o4 n4
tổng	t o4 ŋ͡m4
tộc	t o6 k͡p6
tội	t o6 j6
tột	t o6 t6
tớ	t ɤ5
tới	t ɤ5 j5
tờ	t ɤ2
tởm	t ɤ4 m4
tợn	t ɤ6 n6
tụ	t u6
tục	t u6 k͡p6
tụi	t u6 j6
tụng	t u6 ŋ͡m6
tụt	t u6 t6
tụy	t u6 j6
tủ	t u4
tủa	t uə4
tủi	t u4 j4
tủy	t u4 j4
tứ	t ɯ5
tức	t ɯ5 k5
từ	t ɯ2
từng	t ɯ2 ŋ2
tử	t ɯ4
tửng	t ɯ4 ŋ4
tửu	t ɯ4 w4
tự	t ɯ6
tựa	t ɯə6
tựu	t ɯ6 w6
tỳ	t i2
tỵ	t i6
tỷ	t i4
u	silp u1
um	silp u1 m1
ung	silp u1 ŋ͡m1
uy	silp w1 ʷi1
uyên	silp w1 ʷiə1 n1
uyển	silp w4 ʷiə4 n4
uất	silp w5 ʷɤ̆5 t5
uẩn	silp w4 ʷɤ̆4 n4
uế	silp w5 ʷe5
uể	silp w4 ʷe4
uốn	silp uə5 n5
uống	silp uə5 ŋ5
uổng	silp uə4 ŋ4
uỷ	silp u4 j4
va	v a1
vai	v a1 j1
van	v a1 n1
vang	v a1 ŋ1
vay	v ă1 j1
ve	v ɛ1
ven	v ɛ1 n1
veo	v eo1
vi	v i1
vin	v i1 n1
vinh	v i1 ɲ1
viêm	v iə1 m1
viên	v iə1 n1
viếng	v iə5 ŋ5
viết	v iə5 t5
viền	v iə2 n2
viễn	v iə3 n3
việc	v iə6 k6
viện	v iə6 n6
việt	v iə6 t6
vo	v ɔ1
voan	vw ʷa1 n1
voi	v ɔ1 j1
von	v ɔ1 n1
vong	v ɔ1 ŋ͡m1
voọc	v ɔ6 k͡p6
vu	v u1
vua	v uə1
vui	v u1 j1
vun	v u1 n1
vung	v u1 ŋ͡m1
vuông	v uə1 ŋ1
vuốt	v uə5 t5
vy	v i1
và	v a2
vài	v a2 j2
vàm	v a2 m2
vàn	v a2 n2
vàng	v a2 ŋ2
vành	v ɛ2 ɲ2
vào	v a2 w2
vá	v a5
vác	v a5 k5
vách	v a5 tʃ5
vái	v a5 j5
ván	v a5 n5
váng	v a5 ŋ5
vánh	v ɛ5 ɲ5
vát	v a5 t5
váy	v ă5 j5
vân	v ɤ̆1 n1
vâng	v ɤ̆1 ŋ1
vây	v ɤ̆1 j1
vã	v a3
vãi	v a3 j3
vãn	v a3 n3
vãng	v a3 ŋ3
vãnh	v ɛ3 ɲ3
vèo	v eo2
vé	v ɛ5
vén	v ɛ5 n5
véo	v eo5
vét	v ɛ5 t5
vê	v e1
vênh	v e1 ɲ1
vì	v i2
ví	v i5
vía	v iə5
vít	v i5 t5
víu	v i5 w5
vò	v ɔ2
vòi	v ɔ2 j2
vòm	v ɔ2 m2
vòng	v ɔ2 ŋ͡m2
vó	v ɔ5
vóc	v ɔ5 k͡p5
vón	v ɔ5 n5
vót	v ɔ5 t5
vô	v o1
vôi	v o1 j1
vông	v o1 ŋ͡m1
võ	v ɔ3
võng	v ɔ3 ŋ͡m3
vùi	v u2 j2
vùng	v u2 ŋ͡m2
vú	v u5
vút	v u5 t5
văn	v ă1 n1
văng	v ă1 ŋ1
vĩ	v i3
vĩnh	v i3 ɲ3
vũ	v u3
vũng	v u3 ŋ͡m3
vơ	v ɤ1
vơi	v ɤ1 j1
vươn	v ɯə1 n1
vương	v ɯə1 ŋ1
vướng	v ɯə5 ŋ5
vườn	v ɯə2 n2
vượng	v ɯə6 ŋ6
vượt	v ɯə6 t6
vạ	v a6
vạc	v a6 k6
vạch	v a6 tʃ6
vạn	v a6 n6
vạt	v a6 t6
vả	v a4
vải	v a4 j4
vảy	v ă4 j4
vấn	v ɤ̆5 n5
vấp	v ɤ̆5 p5
vất	v ɤ̆5 t5
vấy	v ɤ̆5 j5
vầng	v ɤ̆2 ŋ2
vẩn	v ɤ̆4 n4
vẩy	v ɤ̆4 j4
vẫn	v ɤ̆3 n3
vẫy	v ɤ̆3 j3
vận	v ɤ̆6 n6
vật	v ɤ̆6 t6
vậy	v ɤ̆6 j6
vắc	v ă5 k5
vắn	v ă5 n5
vắng	v ă5 ŋ5
vắt	v ă5 t5
vằng	v ă2 ŋ2
vẳng	v ă4 ŋ4
vặn	v ă6 n6
vặt	v ă6 t6
vẹn	v ɛ6 n6
vẹo	v eo6
vẹt	v ɛ6 t6
vẻ	v ɛ4
vẽ	v ɛ3
vế	v e5
vết	v e5 t5
về	v e2
vệ	v e6
vệt	v e6 t6
vỉa	v iə4
vị	v i6
vịn	v i6 n6
vịnh	v i6 ɲ6
vịt	v i6 t6
vọng	v ɔ6 ŋ͡m6
vọt	v ɔ6 t6
vỏ	v ɔ4
vố	v o5
vối	v o5 j5
vốn	v o5 n5
vồ	v o2
vồn	v o2 n2
vồng	v o2 ŋ͡m2
vỗ	v o3
vội	v o6 j6
vớ	v ɤ5
với	v ɤ5 j5
vớt	v ɤ5 t5
vờ	v ɤ2
vời	v ɤ2 j2
vở	v ɤ4
vỡ	v ɤ3
vợ	v ɤ6
vợi	v ɤ6 j6
vợt	v ɤ6 t6
vụ	v u6
vụn	v u6 n6
vụng	v u6 ŋ͡m6
vụt	v u6 t6
vức	v ɯ5 k5
vứt	v ɯ5 t5
vừa	v ɯə2
vừng	v ɯ2 ŋ2
vữa	v ɯə3
vững	v ɯ3 ŋ3
vực	v ɯ6 k6
vựng	v ɯ6 ŋ6
xa	s a1
xanh	s ɛ1 ɲ1
xao	s a1 w1
xay	s ă1 j1
xe	s ɛ1
xem	s ɛ1 m1
xen	s ɛ1 n1
xi	s i1
xin	s i1 n1
xinh	s i1 ɲ1
xiêm	s iə1 m1
xiên	s iə1 n1
xiêu	s iə1 w1
xiếc	s iə5 k5
xiết	s iə5 t5
xo	s ɔ1
xoa	sw ʷa1
xoan	sw ʷa1 n1
xoang	sw ʷa1 ŋ1
xoay	sw ă1 j1
xong	s ɔ1 ŋ͡m1
xoong	s ɔ1 ŋ͡m1
xoài	sw a2 j2
xoàng	sw ʷa2 ŋ2
xoá	sw ʷa5
xoáy	sw ă5 j5
xoăn	sw ʷă1 n1
xoạc	sw ʷa6 k6
xoắn	sw ʷă5 n5
xu	s u1
xua	s uə1
xui	s u1 j1
xung	s u1 ŋ͡m1
xuyên	sw ʷiə1 n1
xuyến	sw ʷiə5 n5
xuân	sw ʷɤ̆1 n1
xuê	sw ʷe1
xuôi	s uə1 j1
xuýt	sw ʷi5 t5
xuất	sw ʷɤ̆5 t5
xuẩn	sw ʷɤ̆4 n4
xuể	sw ʷe4
xuống	s uə5 ŋ5
xuồng	s uə2 ŋ2
xy	s i1
xà	s a2
xài	s a2 j2
xào	s a2 w2
xá	s a5
xác	s a5 k5
xách	s a5 tʃ5
xám	s a5 m5
xát	s a5 t5
xâm	s ɤ̆1 m1
xâu	s ɤ̆1 w1
xây	s ɤ̆1 j1
xã	s a3
xèo	s eo2
xé	s ɛ5
xém	s ɛ5 m5
xén	s ɛ5 n5
xéo	s eo5
xét	s ɛ5 t5
xê	s e1
xì	s i2
xí	s i5
xích	s i5 tʃ5
xít	s i5 t5
xíu	s i5 w5
xòe	sw ʷɛ2
xóa	sw ʷa5
xóc	s ɔ5 k͡p5
xói	s ɔ5 j5
xóm	s ɔ5 m5
xót	s ɔ5 t5
xô	s o1
xôi	s o1 j1
xôn	s o1 n1
xông	s o1 ŋ͡m1
xõa	sw ʷa3
xù	s u2
xùm	s u2 m2
xú	s u5
xúc	s u5 k͡p5
xúy	s u5 j5
xăm	s ă1 m1
xăng	s ă1 ŋ1
xơ	s ɤ1
xưa	s ɯə1
xưng	s ɯ1 ŋ1
xương	s ɯə1 ŋ1
xước	s ɯə5 k5
xướng	s ɯə5 ŋ5
xưởng	s ɯə4 ŋ4
xạ	s a6
xạo	s a6 w6
xả	s a4
xảo	s a4 w4
xảy	s ă4 j4
xấp	s ɤ̆5 p5
xấu	s ɤ̆5 w5
xẩy	s ɤ̆4 j4
xập	s ɤ̆6 p6
xắn	s ă5 n5
xắt	s ă5 t5
xẹp	s ɛ6 p6
xẻ	s ɛ4
xẻng	s ɛ4 ŋ4
xẻo	s eo4
xế	s e5
xếch	s e5 tʃ5
xếp	s e5 p5
xệ	s e6
xỉ	s i4
xỉa	s iə4
xỉn	s i4 n4
xỉu	s i4 w4
xị	s i6
xịn	s i6 n6
xịt	s i6 t6
xỏ	s ɔ4
xối	s o5 j5
xốp	s o5 p5
xổ	s o4
xổm	s o4 m4
xộn	s o6 n6
xụp	s u6 p6
xứ	s ɯ5
xứng	s ɯ5 ŋ5
xử	s ɯ4
y	silp i1
yên	silp iɛ1 n1
yêu	silp iə1 w1
yếm	silp iɛ5 m5
yến	silp iɛ5 n5
yết	silp iɛ5 t5
yếu	silp iə5 w5
yểm	silp iɛ4 m4
yểu	silp iə4 w4
à	silp a2
ào	silp a2 w2
á	silp a5
ác	silp a5 k5
ách	silp a5 tʃ5
ái	silp a5 j5
ám	silp a5 m5
án	silp a5 n5
áng	silp a5 ŋ5
ánh	silp ɛ5 ɲ5
áo	silp a5 w5
áp	silp a5 p5
át	silp a5 t5
âm	silp ɤ̆1 m1
ân	silp ɤ̆1 n1
âu	silp ɤ̆1 w1
ã	silp a3
én	silp ɛ5 n5
éo	silp eo5
ép	silp ɛ5 p5
ét	silp ɛ5 t5
ê	silp e1
êm	silp e1 m1
ì	silp i2
ình	silp i2 ɲ2
ích	silp i5 tʃ5
ín	silp i5 n5
ít	silp i5 t5
òa	silp w2 ʷa2
ó	silp ɔ5
óc	silp ɔ5 k͡p5
ói	silp ɔ5 j5
óng	silp ɔ5 ŋ͡m5
ô	silp o1
ôi	silp o1 j1
ôm	silp o1 m1
ôn	silp o1 n1
ông	silp o1 ŋ͡m1
ù	silp u2
ùa	silp uə2
ùn	silp u2 n2
ùng	silp u2 ŋ͡m2
ú	silp u5
úc	silp u5 k͡p5
úng	silp u5 ŋ͡m5
úp	silp u5 p5
út	silp u5 t5
úy	silp u5 j5
ý	silp i5
ăm	silp ă1 m1
ăn	silp ă1 n1
ăng	silp ă1 ŋ1
đa	d a1
đai	d a1 j1
đam	d a1 m1
đan	d a1 n1
đang	d a1 ŋ1
đanh	d ɛ1 ɲ1
đao	d a1 w1
đau	d ă1 w1
đay	d ă1 j1
đe	d ɛ1
đem	d ɛ1 m1
đen	d ɛ1 n1
đeo	d eo1
đi	d i1
đinh	d i1 ɲ1
điên	d iə1 n1
điêu	d iə1 w1
điếc	d iə5 k5
điếm	d iə5 m5
điềm	d iə2 m2
điền	d iə2 n2
điều	d iə2 w2
điểm	d iə4 m4
điển	d iə4 n4
điểu	d iə4 w4
điện	d iə6 n6
điệp	d iə6 p6
điệu	d iə6 w6
đo	d ɔ1
đoan	dw ʷa1 n1
đom	d ɔ1 m1
đong	d ɔ1 ŋ͡m1
đoàn	dw ʷa2 n2
đoái	dw a5 j5
đoán	dw ʷa5 n5
đoạn	dw ʷa6 n6
đoạt	dw ʷa6 t6
đoản	dw ʷa4 n4
đu	d u1
đua	d uə1
đun	d u1 n1
đuôi	d uə1 j1
đuối	d uə5 j5
đuổi	d uə4 j4
đà	d a2
đài	d a2 j2
đàm	d a2 m2
đàn	d a2 n2
đàng	d a2 ŋ2
đành	d ɛ2 ɲ2
đào	d a2 w2
đày	d ă2 j2
đá	d a5
đác	d a5 k5
đái	d a5 j5
đám	d a5 m5
đán	d a5 n5
đáng	d a5 ŋ5
đánh	d ɛ5 ɲ5
đáo	d a5 w5
đáp	d a5 p5
đáu	d ă5 w5
đáy	d ă5 j5
đâm	d ɤ̆1 m1
đâu	d ɤ̆1 w1
đây	d ɤ̆1 j1
đã	d a3
đãi	d a3 j3
đãng	d a3 ŋ3
đè	d ɛ2
đèn	d ɛ2 n2
đèo	d eo2
đét	d ɛ5 t5
đê	d e1
đêm	d e1 m1
đình	d i2 ɲ2
đìu	d i2 w2
đích	d i5 tʃ5
đính	d i5 ɲ5
đò	d ɔ2
đòi	d ɔ2 j2
đòn	d ɔ2 n2
đó	d ɔ5
đóa	dw ʷa5
đói	d ɔ5 j5
đóm	d ɔ5 m5
đón	d ɔ5 n5
đóng	d ɔ5 ŋ͡m5
đô	d o1
đôi	d o1 j1
đôn	d o1 n1
đông	d o1 ŋ͡m1
đùa	d uə2
đùi	d u2 j2
đùm	d u2 m2
đùng	d u2 ŋ͡m2
đúc	d u5 k͡p5
đúng	d u5 ŋ͡m5
đăng	d ă1 ŋ1
đĩa	d iə3
đĩnh	d i3 ɲ3
đũa	d uə3
đơ	d ɤ1
đơm	d ɤ1 m1
đơn	d ɤ1 n1
đưa	d ɯə1
đương	d ɯə1 ŋ1
đước	d ɯə5 k5
đường	d ɯə2 ŋ2
được	d ɯə6 k6
đượm	d ɯə6 m6
đạc	d a6 k6
đại	d a6 j6
đạm	d a6 m6
đạn	d a6 n6
đạo	d a6 w6
đạp	d a6 p6
đạt	d a6 t6
đả	d a4
đảm	d a4 m4
đản	d a4 n4
đảng	d a4 ŋ4
đảo	d a4 w4
đấm	d ɤ̆5 m5
đấng	d ɤ̆5 ŋ5
đất	d ɤ̆5 t5
đấu	d ɤ̆5 w5
đấy	d ɤ̆5 j5
đầm	d ɤ̆2 m2
đần	d ɤ̆2 n2
đầu	d ɤ̆2 w2
đầy	d ɤ̆2 j2
đẩy	d ɤ̆4 j4
đẫm	d ɤ̆3 m3
đậm	d ɤ̆6 m6
đận	d ɤ̆6 n6
đập	d ɤ̆6 p6
đậu	d ɤ̆6 w6
đậy	d ɤ̆6 j6
đắc	d ă5 k5
đắm	d ă5 m5
đắn	d ă5 n5
đắng	d ă5 ŋ5
đắp	d ă5 p5
đắt	d ă5 t5
đằm	d ă2 m2
đằng	d ă2 ŋ2
đẳng	d ă4 ŋ4
đẵng	d ă3 ŋ3
đặc	d ă6 k6
đặn	d ă6 n6
đặng	d ă6 ŋ6
đặt	d ă6 t6
đẹp	d ɛ6 p6
đẻ	d ɛ4
đẽ	d ɛ3
đế	d e5
đếm	d e5 m5
đến	d e5 n5
đề	d e2
đềm	d e2 m2
đền	d e2 n2
đều	d ɛu2
để	d e4
