a	silp a1
cung	k u1 ŋ͡m1
cuông	k uə1 ŋ1
cuốc	k uə5 k5
cuối	k uə5 j5
cuốn	k uə5 n5
cuống	k uə5 ŋ5
cuồn	k uə2 n2
cuồng	k uə2 ŋ2
cuộc	k uə6 k6
cuội	k uə6 j6
cuộn	k uə6 n6
cà	k a2
cài	k a2 j2
càng	k a2 ŋ2
cành	k ɛ2 ɲ2
cào	k a2 w2
càu	k ă2 w2
cày	k ă2 j2
cá	k a5
các	k a5 k5
cách	k a5 tʃ5
cái	k a5 j5
cám	k a5 m5
cán	k a5 n5
cáng	k a5 ŋ5
cánh	k ɛ5 ɲ5
cáo	k a5 w5
cáp	k a5 p5
cát	k a5 t5
cáu	k ă5 w5
câm	k ɤ̆1 m1
cân	k ɤ̆1 n1
câu	k ɤ̆1 w1
cây	k ɤ̆1 j1
cãi	k a3 j3
cò	k ɔ2
còi	k ɔ2 j2
còm	k ɔ2 m2
còn	k ɔ2 n2
còng	k ɔ2 ŋ͡m2
có	k ɔ5
cóc	k ɔ5 k͡p5
cóng	k ɔ5 ŋ͡m5
cóp	k ɔ5 p5
cô	k o1
côi	k o1 j1
côn	k o1 n1
công	k o1 ŋ͡m1
cõi	k ɔ3 j3
cõng	k ɔ3 ŋ͡m3
cù	k u2
cùa	k uə2
cùm	k u2 m2
cùng	k u2 ŋ͡m2
cú	k u5
cúc	k u5 k͡p5
cúi	k u5 j5
cúm	k u5 m5
cún	k u5 n5
cúng	k u5 ŋ͡m5
cúp	k u5 p5
cút	k u5 t5
căm	k ă1 m1
căn	k ă1 n1
căng	k ă1 ŋ1
cũ	k u3
cũn	k u3 n3
cũng	k u3 ŋ͡m3
cơ	k ɤ1
cơi	k ɤ1 j1
cơm	k ɤ1 m1
cơn	k ɤ1 n1
cư	k ɯ1
cưa	k ɯə1
cưng	k ɯ1 ŋ1
cưu	k ɯ1 w1
cương	k ɯə1 ŋ1
cước	k ɯə5 k5
cưới	k ɯə5 j5
cướp	k ɯə5 p5
cười	k ɯə2 j2
cường	k ɯə2 ŋ2
cưỡi	k ɯə3 j3
cưỡng	k ɯə3 ŋ3
cược	k ɯə6 k6
cạc	k a6 k6
cạch	k a6 tʃ6
cạm	k a6 m6
cạn	k a6 n6
cạnh	k ɛ6 ɲ6
cạo	k a6 w6
cạy	k ă6 j6
cả	k a4
cải	k a4 j4
cảm	k a4 m4
cản	k a4 n4
cảng	k a4 ŋ4
cảnh	k ɛ4 ɲ4
cấm	k ɤ̆5 m5
cấn	k ɤ̆5 n5
cấp	k ɤ̆5 p5
cất	k ɤ̆5 t5
cấu	k ɤ̆5 w5
cấy	k ɤ̆5 j5
cầm	k ɤ̆2 m2
cần	k ɤ̆2 n2
cầu	k ɤ̆2 w2
cầy	k ɤ̆2 j2
cẩm	k ɤ̆4 m4
cẩn	k ɤ̆4 n4
cẩu	k ɤ̆4 w4
cận	k ɤ̆6 n6
cập	k ɤ̆6 p6
cậu	k ɤ̆6 w6
cậy	k ɤ̆6 j6
cắc	k ă5 k5
cắm	k ă5 m5
cắn	k ă5 n5
cắp	k ă5 p5
cắt	k ă5 t5
cằm	k ă2 m2
cằn	k ă2 n2
cặm	k ă6 m6
cặn	k ă6 n6
cặp	k ă6 p6
cọ	k ɔ6
cọc	k ɔ6 k͡p6
cọng	k ɔ6 ŋ͡m6
cỏ	k ɔ4
cỏi	k ɔ4 j4
cố	k o5
cốc	k o5 k͡p5
cối	k o5 j5
cốm	k o5 m5
cống	k o5 ŋ͡m5
cốp	k o5 p5
cốt	k o5 t5
cồn	k o2 n2
cồng	k o2 ŋ͡m2
cổ	k o4
cổng	k o4 ŋ͡m4
cỗ	k o3
cộ	k o6
cội	k o6 j6
cộm	k o6 m6
cộng	k o6 ŋ͡m6
cộp	k o6 p6
cột	k o6 t6
cớ	k ɤ5
cờ	k ɤ2
cởi	k ɤ4 j4
cỡ	k ɤ3
cỡn	k ɤ3 n3
cợt	k ɤ6 t6
cụ	k u6
cục	k u6 k͡p6
cụi	k u6 j6
cụm	k u6 m6
cụp	k u6 p6
cụt	k u6 t6
củ	k u4
của	k uə4
củi	k u4 j4
củng	k u4 ŋ͡m4
cứ	k ɯ5
cứa	k ɯə5
cứng	k ɯ5 ŋ5
cứu	k ɯ5 w5
cừ	k ɯ2
cừu	k ɯ2 w2
cử	k ɯ4
cửa	k ɯə4
cửu	k ɯ4 w4
cữ	k ɯ3
cự	k ɯ6
cực	k ɯ6 k6
cựu	k ɯ6 w6
da	z a1
dai	z a1 j1
dang	z a1 ŋ1
danh	z ɛ1 ɲ1
dao	z a1 w1
day	z ă1 j1
di	z i1
dinh	z i1 ɲ1
diêm	z iə1 m1
diên	z iə1 n1
diêu	z iə1 w1
diếp	z iə5 p5
diều	z iə2 w2
diễm	z iə3 m3
diễn	z iə3 n3
diễu	z iə3 w3
diệc	z iə6 k6
diện	z iə6 n6
diệp	z iə6 p6
diệt	z iə6 t6
diệu	z iə6 w6
do	z ɔ1
doanh	zw ʷa1 ɲ1
dom	z ɔ1 m1
don	z ɔ1 n1
dong	z ɔ1 ŋ͡m1
doãn	zw ʷa3 n3
doạ	zw ʷa6
du	z u1
dua	z uə1
dung	z u1 ŋ͡m1
duy	zw ʷi1
duyên	zw ʷiə1 n1
duyệt	zw ʷiə6 t6
duật	zw ʷɤ̆6 t6
duệ	zw ʷe6
duỗi	z uə3 j3
dà	z a2
dài	z a2 j2
dàn	z a2 n2
dàng	z a2 ŋ2
dành	z ɛ2 ɲ2
dào	z a2 w2
dày	z ă2 j2
dái	z a5 j5
dám	z a5 m5
dán	z a5 n5
dáng	z a5 ŋ5
dát	z a5 t5
dâm	z ɤ̆1 m1
dân	z ɤ̆1 n1
dâng	z ɤ̆1 ŋ1
dâu	z ɤ̆1 w1
dây	z ɤ̆1 j1
